
 ---------------------------------- 
< Line , obs , pre1 , pre2 >
< 115    , pos , pos  , pos  >
< 116    , pos , pos  , pos  >
< 117    , pos , pos  , pos  >
< 118    , neg , neutre  , pos  >
< 119    , pos , neutre  , pos  >
< 120    , pos , neutre  , pos  >
< 121    , neutre , neutre  , pos  >
< 122    , neutre , neutre  , pos  >
< 123    , neg , neg  , pos  >
< 124    , pos , pos  , pos  >
< 125    , pos , neutre  , pos  >
< 126    , pos , neutre  , pos  >
< 127    , pos , pos  , pos  >
< 128    , pos , neutre  , pos  >
< 129    , pos , neutre  , pos  >
< 130    , pos , neutre  , pos  >
< 131    , neutre , neutre  , pos  >
< 132    , pos , neutre  , pos  >
< 133    , pos , neutre  , pos  >
< 134    , pos , neutre  , pos  >
< 135    , pos , neutre  , pos  >
< 136    , neutre , neutre  , pos  >
< 137    , neutre , neutre  , pos  >
< 138    , pos , pos  , pos  >
< 139    , neg , neg  , pos  >
< 140    , pos , neg  , pos  >
< 141    , pos , neutre  , pos  >
< 142    , pos , neutre  , pos  >
< 143    , neutre , neutre  , pos  >
< 144    , neutre , neg  , pos  >
< 145    , pos , neutre  , neg  >
< 146    , neutre , pos  , pos  >
< 147    , neutre , neutre  , pos  >
< 148    , pos , neg  , pos  >
< 149    , neutre , neutre  , pos  >
< 150    , pos , neutre  , pos  >
< 151    , pos , pos  , pos  >
< 152    , pos , pos  , pos  >
< 153    , pos , pos  , pos  >
< 154    , neutre , neutre  , pos  >
< 155    , neg , neutre  , neg  >
< 156    , pos , neutre  , pos  >
< 157    , neutre , neutre  , pos  >
< 158    , neg , neg  , pos  >
< 159    , pos , neutre  , pos  >
< 160    , pos , neutre  , pos  >
< 161    , neg , neg  , pos  >
< 162    , pos , neutre  , pos  >
< 163    , pos , pos  , pos  >
< 164    , pos , neutre  , neg  >
< 165    , pos , neutre  , pos  >
< 166    , pos , neutre  , neg  >
< 167    , pos , pos  , pos  >
< 168    , neutre , neutre  , pos  >
< 169    , pos , pos  , pos  >
< 170    , pos , neutre  , pos  >
< 171    , neutre , neutre  , pos  >
< 172    , neg , neutre  , pos  >
< 173    , pos , neutre  , pos  >
< 174    , neutre , neg  , pos  >
< 175    , neutre , neutre  , pos  >
< 176    , neg , neutre  , pos  >
< 177    , pos , neutre  , pos  >
< 178    , neutre , neutre  , pos  >
< 179    , pos , neutre  , pos  >
< 180    , neutre , neutre  , neg  >
< 181    , pos , neutre  , pos  >
< 182    , pos , neutre  , pos  >
< 183    , pos , neutre  , pos  >
< 184    , neg , neutre  , pos  >
< 185    , pos , neutre  , pos  >
< 186    , pos , neutre  , pos  >
< 187    , pos , neutre  , pos  >
< 188    , neg , neutre  , pos  >
< 189    , neutre , neg  , pos  >
< 190    , pos , pos  , pos  >
< 191    , pos , pos  , pos  >
< 192    , pos , pos  , pos  >
< 193    , pos , pos  , pos  >
< 194    , neg , neutre  , pos  >
< 195    , neutre , neg  , neg  >
< 196    , pos , neg  , pos  >
< 197    , pos , neutre  , pos  >
< 198    , pos , neutre  , pos  >
< 199    , pos , pos  , pos  >
< 200    , neutre , neg  , pos  >
< 201    , neutre , pos  , pos  >
< 202    , pos , pos  , pos  >
< 203    , pos , neutre  , pos  >
< 204    , pos , pos  , pos  >
< 205    , pos , neutre  , pos  >
< 206    , pos , pos  , pos  >
< 207    , pos , neutre  , pos  >
< 208    , pos , neutre  , pos  >
< 209    , pos , pos  , pos  >
< 210    , neutre , neutre  , pos  >
< 211    , pos , neutre  , neutre  >
< 212    , neutre , neutre  , pos  >
< 213    , neutre , pos  , pos  >
< 214    , pos , neutre  , pos  >
< 215    , neutre , neutre  , pos  >
< 216    , pos , neutre  , pos  >
< 217    , neutre , neg  , pos  >
< 218    , pos , neutre  , pos  >
< 219    , neg , neutre  , pos  >
< 220    , pos , pos  , pos  >
< 221    , neutre , neutre  , pos  >
< 222    , neutre , neutre  , pos  >
< 223    , pos , neutre  , pos  >
< 224    , pos , neutre  , pos  >
< 225    , neg , neutre  , pos  >
< 226    , pos , neutre  , pos  >
< 227    , pos , pos  , pos  >
< 228    , neg , neutre  , pos  >
< 229    , neg , neutre  , pos  >
< 230    , neg , neutre  , pos  >
< 231    , neg , neutre  , pos  >
< 232    , pos , neutre  , pos  >
< 233    , neg , neutre  , pos  >
< 234    , pos , neutre  , pos  >
< 235    , pos , neutre  , pos  >
< 236    , pos , neg  , pos  >
< 237    , neutre , neutre  , pos  >
< 238    , neutre , neutre  , pos  >
< 239    , pos , pos  , pos  >
< 240    , pos , neutre  , neg  >
< 241    , pos , neutre  , pos  >
< 242    , pos , neutre  , pos  >
< 243    , pos , neutre  , pos  >
< 244    , pos , neutre  , pos  >
< 245    , pos , pos  , pos  >
< 246    , pos , neg  , pos  >
< 247    , pos , neutre  , pos  >
< 248    , pos , neutre  , pos  >
< 249    , pos , pos  , pos  >
< 250    , neg , neg  , pos  >
< 251    , pos , pos  , pos  >
< 252    , pos , pos  , pos  >
< 253    , neg , neutre  , neutre  >
< 254    , neg , neutre  , pos  >
< 255    , pos , neutre  , pos  >
< 256    , neg , neg  , pos  >
< 257    , neg , neutre  , pos  >
< 258    , neg , neutre  , pos  >
< 259    , neutre , neutre  , pos  >
< 260    , pos , neutre  , pos  >
< 261    , neutre , neg  , pos  >
< 262    , pos , neutre  , pos  >
< 263    , pos , pos  , pos  >
< 264    , pos , pos  , pos  >
< 265    , pos , neutre  , pos  >
< 266    , neutre , neutre  , pos  >
< 267    , pos , neutre  , neg  >
< 268    , neg , neutre  , pos  >
< 269    , pos , neutre  , pos  >
< 270    , pos , neutre  , pos  >
< 271    , neutre , neutre  , pos  >
< 272    , pos , neutre  , pos  >
< 273    , pos , neutre  , pos  >
< 274    , pos , neutre  , pos  >
< 275    , pos , neutre  , pos  >
< 276    , neutre , neutre  , pos  >
< 277    , neutre , neutre  , pos  >
< 278    , neutre , neutre  , neutre  >
< 279    , pos , neutre  , pos  >
< 280    , pos , neutre  , pos  >
< 281    , pos , neutre  , pos  >
< 282    , pos , neutre  , pos  >
< 283    , pos , neutre  , pos  >
< 284    , pos , neutre  , pos  >
< 285    , neutre , neutre  , pos  >
< 286    , pos , pos  , pos  >
< 287    , pos , neutre  , pos  >
< 288    , pos , neutre  , pos  >
< 289    , pos , neutre  , pos  >
< 290    , pos , neutre  , pos  >
< 291    , pos , neutre  , pos  >
< 292    , pos , neutre  , pos  >
< 293    , pos , neutre  , pos  >
< 294    , pos , neutre  , pos  >
< 295    , pos , neutre  , pos  >
< 296    , pos , neutre  , pos  >
< 297    , pos , neutre  , pos  >
< 298    , neutre , pos  , pos  >
< 299    , pos , neutre  , pos  >
< 300    , neutre , neg  , pos  >
< 301    , pos , neutre  , pos  >
< 302    , neutre , neutre  , pos  >
< 303    , pos , neg  , pos  >
< 304    , pos , neutre  , pos  >
< 305    , neutre , neutre  , pos  >
< 306    , pos , neutre  , pos  >
< 307    , pos , neutre  , pos  >
< 308    , pos , neutre  , neg  >
< 309    , pos , neutre  , pos  >
< 310    , pos , neutre  , neg  >
< 311    , neutre , neutre  , neg  >
< 312    , pos , neg  , neg  >
< 313    , pos , pos  , pos  >
< 314    , pos , neutre  , pos  >
< 315    , pos , neutre  , pos  >
< 316    , neg , neutre  , pos  >
< 317    , pos , neutre  , neg  >
< 318    , pos , pos  , pos  >
< 319    , neg , neutre  , pos  >
< 320    , pos , neutre  , pos  >
< 321    , neutre , neutre  , pos  >
< 322    , pos , neutre  , neg  >
< 323    , neutre , pos  , pos  >
< 324    , neutre , neutre  , pos  >
< 325    , pos , pos  , pos  >
< 326    , pos , neutre  , pos  >
< 327    , pos , pos  , pos  >
< 328    , neutre , neutre  , pos  >
< 329    , pos , neutre  , pos  >
< 330    , pos , neutre  , pos  >
< 331    , pos , pos  , pos  >
< 332    , pos , neutre  , pos  >
< 333    , pos , neutre  , pos  >
< 334    , pos , neutre  , pos  >
< 335    , neg , neutre  , pos  >
< 336    , pos , neutre  , neg  >
< 337    , neutre , neutre  , pos  >
< 338    , pos , pos  , pos  >
< 339    , pos , neutre  , pos  >
< 340    , pos , neutre  , pos  >
< 341    , pos , pos  , pos  >
< 342    , neutre , neg  , pos  >
< 343    , pos , neutre  , pos  >
< 344    , pos , pos  , pos  >
< 345    , pos , pos  , pos  >
< 346    , pos , neutre  , pos  >
< 347    , neg , neutre  , pos  >
< 348    , pos , neutre  , pos  >
< 349    , pos , neutre  , pos  >
< 350    , pos , neutre  , pos  >
< 351    , pos , neutre  , pos  >
< 352    , pos , neutre  , pos  >
< 353    , pos , pos  , pos  >
< 354    , pos , neutre  , neg  >
< 355    , pos , neutre  , pos  >
< 356    , pos , neutre  , pos  >
< 357    , neutre , neutre  , neg  >
< 358    , pos , pos  , pos  >
< 359    , pos , neutre  , pos  >
< 360    , pos , neutre  , pos  >
< 361    , pos , neutre  , pos  >
< 362    , pos , neutre  , pos  >
< 363    , pos , neutre  , pos  >
< 364    , pos , pos  , pos  >
< 365    , neutre , neutre  , pos  >
< 366    , pos , neutre  , pos  >
< 367    , pos , pos  , pos  >
< 368    , pos , neg  , pos  >
< 369    , pos , neutre  , pos  >
< 370    , pos , pos  , pos  >
< 371    , pos , pos  , pos  >
< 372    , pos , neutre  , pos  >
< 373    , pos , pos  , pos  >
< 374    , pos , pos  , pos  >
< 375    , neutre , neutre  , pos  >
< 376    , neg , neutre  , pos  >
< 377    , pos , neutre  , pos  >
< 378    , pos , neutre  , pos  >
< 379    , pos , neutre  , pos  >
< 380    , pos , neutre  , pos  >
< 381    , neg , neutre  , pos  >
< 382    , pos , neutre  , pos  >
< 383    , pos , pos  , pos  >
< 384    , pos , pos  , pos  >
< 385    , pos , neutre  , pos  >
< 386    , pos , neutre  , neg  >
< 387    , pos , neutre  , pos  >
< 388    , pos , neutre  , pos  >
< 389    , pos , neutre  , pos  >
< 390    , pos , neutre  , pos  >
< 391    , neutre , neutre  , pos  >
< 392    , pos , neutre  , pos  >
< 393    , pos , neutre  , pos  >
< 394    , pos , neutre  , pos  >
< 395    , neutre , neg  , pos  >
< 396    , neg , neutre  , pos  >
< 397    , pos , neutre  , pos  >
< 398    , pos , neutre  , neg  >
< 399    , neg , neutre  , pos  >
< 400    , neutre , neutre  , pos  >
< 401    , pos , neutre  , pos  >
< 402    , pos , neutre  , pos  >
< 403    , pos , neutre  , pos  >
< 404    , pos , neutre  , pos  >
< 405    , neutre , neutre  , neg  >
< 406    , pos , pos  , pos  >
< 407    , neutre , neutre  , pos  >
< 408    , pos , neutre  , neg  >
< 409    , pos , neutre  , pos  >
< 410    , pos , neutre  , pos  >
< 411    , pos , neutre  , pos  >
< 412    , pos , neutre  , pos  >
< 413    , neg , neg  , pos  >
< 414    , pos , pos  , pos  >
< 415    , neutre , neutre  , pos  >
< 416    , pos , neutre  , pos  >
< 417    , pos , neutre  , pos  >
< 418    , neutre , neutre  , pos  >
< 419    , pos , neutre  , pos  >
< 420    , neg , neg  , pos  >
< 421    , neg , neutre  , neg  >
< 422    , pos , neutre  , pos  >
< 423    , neg , neg  , pos  >
< 424    , pos , neutre  , pos  >
< 425    , pos , neg  , pos  >
< 426    , pos , neg  , pos  >
< 427    , neg , neg  , pos  >
< 428    , pos , neutre  , pos  >
< 429    , pos , pos  , pos  >
< 430    , neg , neg  , pos  >
< 431    , pos , pos  , pos  >
< 432    , pos , pos  , pos  >
< 433    , pos , neg  , pos  >
< 434    , pos , neutre  , pos  >
< 435    , pos , neutre  , pos  >
< 436    , pos , neutre  , pos  >
< 437    , neg , neutre  , pos  >
< 438    , pos , neutre  , pos  >
< 439    , pos , neg  , pos  >
< 440    , neg , neg  , pos  >
< 441    , pos , neutre  , pos  >
< 442    , pos , neg  , pos  >
< 443    , pos , neutre  , pos  >
< 444    , pos , neutre  , pos  >
< 445    , pos , neutre  , pos  >
< 446    , pos , neutre  , pos  >
< 447    , pos , pos  , pos  >
< 448    , pos , neutre  , pos  >
< 449    , pos , neutre  , pos  >
< 450    , pos , neutre  , pos  >
< 451    , neg , neutre  , pos  >
< 452    , neg , neg  , pos  >
< 453    , neg , neg  , pos  >
< 454    , neg , neg  , pos  >
< 455    , pos , pos  , pos  >
< 456    , pos , neg  , pos  >
< 457    , pos , neutre  , pos  >
< 458    , pos , neutre  , pos  >
< 459    , neutre , neutre  , pos  >
< 460    , neg , neg  , pos  >
< 461    , neg , neg  , pos  >
< 462    , neg , neg  , pos  >
< 463    , neg , neg  , pos  >
< 464    , neg , neutre  , pos  >
< 465    , neg , neutre  , neg  >
< 466    , neg , neg  , pos  >
< 467    , neutre , neutre  , pos  >
< 468    , pos , neg  , pos  >
< 469    , neg , neutre  , pos  >
< 470    , neutre , neutre  , pos  >
< 471    , pos , neutre  , pos  >
< 472    , neg , neg  , pos  >
< 473    , neutre , neg  , neg  >
< 474    , pos , pos  , pos  >
< 475    , neg , neutre  , pos  >
< 476    , neutre , neutre  , pos  >
< 477    , neutre , neutre  , pos  >
< 478    , neg , neutre  , pos  >
< 479    , pos , neutre  , pos  >
< 480    , pos , neutre  , pos  >
< 481    , neg , neutre  , pos  >
< 482    , neutre , neutre  , pos  >
< 483    , neutre , neutre  , pos  >
< 484    , pos , neutre  , pos  >
< 485    , neg , neg  , pos  >
< 486    , neg , neg  , pos  >
< 487    , neg , neutre  , neg  >
< 488    , pos , pos  , pos  >
< 489    , neutre , neutre  , pos  >
< 490    , pos , pos  , pos  >
< 491    , neutre , pos  , pos  >
< 492    , pos , neg  , pos  >
< 493    , neg , neutre  , pos  >
< 494    , pos , neutre  , pos  >
< 495    , neutre , neutre  , pos  >
< 496    , pos , neutre  , pos  >
< 497    , neg , neg  , pos  >
< 498    , neg , neg  , pos  >
< 499    , pos , pos  , pos  >
< 500    , pos , neutre  , pos  >
< 501    , pos , neutre  , pos  >
< 502    , neg , neutre  , pos  >
< 503    , pos , neutre  , pos  >
< 504    , neg , neg  , pos  >
< 505    , neutre , neutre  , pos  >
< 506    , neutre , neutre  , pos  >
< 507    , pos , neutre  , pos  >
< 508    , neg , neg  , pos  >
< 509    , neutre , neutre  , pos  >
< 510    , neg , neutre  , pos  >
< 511    , pos , pos  , pos  >
< 512    , neutre , neutre  , pos  >
< 513    , pos , neutre  , pos  >
< 514    , neg , neg  , pos  >
< 515    , neg , neg  , neg  >
< 516    , pos , neutre  , neg  >
< 517    , neutre , neutre  , pos  >
< 518    , pos , neutre  , pos  >
< 519    , pos , neutre  , neg  >
< 520    , pos , neutre  , pos  >
< 521    , pos , neutre  , pos  >
< 522    , neutre , neutre  , neg  >
< 523    , pos , neutre  , pos  >
< 524    , neg , neg  , pos  >
< 525    , neg , neutre  , pos  >
< 526    , neutre , neutre  , pos  >
< 527    , neutre , neg  , pos  >
< 528    , pos , neutre  , pos  >
< 529    , pos , neutre  , pos  >
< 530    , pos , neutre  , pos  >
< 531    , pos , neutre  , pos  >
< 532    , neutre , neutre  , neutre  >
< 533    , pos , neutre  , neg  >
< 534    , neutre , neg  , pos  >
< 535    , pos , neutre  , pos  >
< 536    , neg , neg  , pos  >
< 537    , neg , neutre  , pos  >
< 538    , neg , neutre  , pos  >
< 539    , pos , neutre  , pos  >
< 540    , neg , neg  , pos  >
< 541    , neg , neg  , pos  >
< 542    , pos , neutre  , pos  >
< 543    , pos , neg  , pos  >
< 544    , neg , neg  , neg  >
< 545    , neg , neg  , pos  >
< 546    , pos , neutre  , pos  >
< 547    , pos , neutre  , pos  >
< 548    , pos , neutre  , pos  >
< 549    , neutre , neutre  , neutre  >
< 550    , neutre , neutre  , pos  >
< 551    , neutre , neutre  , pos  >
< 552    , neg , neutre  , pos  >
< 553    , pos , pos  , pos  >
< 554    , neg , neutre  , pos  >
< 555    , pos , pos  , pos  >
< 556    , neg , neg  , pos  >
< 557    , neutre , neutre  , pos  >
< 558    , pos , neutre  , pos  >
< 559    , neg , neutre  , pos  >
< 560    , pos , neutre  , pos  >
< 561    , pos , neutre  , pos  >
< 562    , pos , neutre  , pos  >
< 563    , pos , pos  , pos  >
< 564    , neutre , neutre  , pos  >
< 565    , pos , neutre  , pos  >
< 566    , pos , neutre  , pos  >
< 567    , neutre , neutre  , pos  >
< 568    , neg , neutre  , pos  >
< 569    , neutre , neutre  , pos  >
< 570    , pos , neutre  , pos  >
< 571    , pos , neutre  , pos  >
< 572    , pos , neutre  , pos  >
< 573    , neg , neg  , pos  >
< 574    , neutre , neutre  , pos  >
< 575    , pos , neutre  , neg  >
< 576    , pos , neutre  , pos  >
< 577    , neutre , pos  , pos  >
< 578    , pos , neutre  , pos  >
< 579    , pos , neutre  , pos  >
< 580    , neutre , neutre  , pos  >
< 581    , pos , neutre  , pos  >
< 582    , neutre , neutre  , pos  >
< 583    , pos , neutre  , pos  >
< 584    , pos , neutre  , pos  >
< 585    , pos , neutre  , pos  >
< 586    , pos , neutre  , neg  >
< 587    , pos , pos  , pos  >
< 588    , pos , pos  , pos  >
< 589    , pos , neutre  , pos  >
< 590    , pos , neutre  , pos  >
< 591    , pos , neutre  , pos  >
< 592    , pos , neutre  , pos  >
< 593    , pos , neutre  , pos  >
< 594    , pos , neutre  , pos  >
< 595    , neg , neg  , pos  >
< 596    , neg , neutre  , pos  >
< 597    , pos , neutre  , pos  >
< 598    , pos , neutre  , neg  >
< 599    , pos , neutre  , neg  >
< 600    , pos , pos  , pos  >
< 601    , pos , pos  , pos  >
< 602    , pos , neutre  , pos  >
< 603    , pos , neutre  , pos  >
< 604    , neg , neutre  , pos  >
< 605    , neutre , neutre  , pos  >
< 606    , neutre , neutre  , neg  >
< 607    , pos , pos  , pos  >
< 608    , neutre , neutre  , pos  >
< 609    , pos , neutre  , pos  >
< 610    , pos , neutre  , pos  >
< 611    , pos , neutre  , pos  >
< 612    , neutre , neutre  , neg  >
< 613    , pos , pos  , pos  >
< 614    , pos , neutre  , pos  >
< 615    , neg , neutre  , pos  >
< 616    , pos , pos  , pos  >
< 617    , pos , neutre  , pos  >
< 618    , pos , neutre  , neg  >
< 619    , pos , pos  , pos  >
< 620    , neg , neg  , pos  >
< 621    , neg , neg  , pos  >
< 622    , pos , neg  , pos  >
< 623    , neg , neutre  , pos  >
< 624    , pos , neutre  , pos  >
< 625    , neg , neg  , neg  >
< 626    , pos , neutre  , neg  >
< 627    , pos , pos  , pos  >
< 628    , pos , neutre  , pos  >
< 629    , neg , neutre  , pos  >
< 630    , neutre , neutre  , pos  >
< 631    , pos , neutre  , pos  >
< 632    , pos , pos  , pos  >
< 633    , neutre , neutre  , pos  >
< 634    , pos , neutre  , pos  >
< 635    , pos , neutre  , pos  >
< 636    , pos , pos  , pos  >
< 637    , neg , neutre  , pos  >
< 638    , neutre , neutre  , pos  >
< 639    , pos , neutre  , pos  >
< 640    , pos , neutre  , neg  >
< 641    , pos , neutre  , pos  >
< 642    , pos , neutre  , pos  >
< 643    , pos , neutre  , pos  >
< 644    , pos , pos  , pos  >
< 645    , neutre , neutre  , pos  >
< 646    , neutre , neutre  , pos  >
< 647    , pos , neutre  , pos  >
< 648    , pos , neutre  , pos  >
< 649    , pos , pos  , pos  >
< 650    , neutre , neutre  , pos  >
< 651    , neg , neutre  , pos  >
< 652    , pos , neutre  , pos  >
< 653    , pos , neutre  , pos  >
< 654    , pos , neg  , pos  >
< 655    , pos , neutre  , pos  >
< 656    , pos , pos  , pos  >
< 657    , pos , pos  , pos  >
< 658    , pos , pos  , pos  >
< 659    , pos , pos  , pos  >
< 660    , pos , pos  , pos  >
< 661    , pos , neutre  , pos  >
< 662    , pos , pos  , pos  >
< 663    , pos , neutre  , pos  >
< 664    , pos , neutre  , pos  >
< 665    , pos , pos  , pos  >
< 666    , pos , neutre  , pos  >
< 667    , pos , pos  , pos  >
< 668    , pos , neutre  , pos  >
< 669    , pos , neg  , pos  >
< 670    , neutre , neg  , pos  >
< 671    , pos , neg  , pos  >
< 672    , pos , neg  , pos  >
< 673    , pos , pos  , pos  >
< 674    , pos , neutre  , pos  >
< 675    , pos , neg  , pos  >
< 676    , pos , neutre  , pos  >
< 677    , pos , neutre  , pos  >
< 678    , pos , neutre  , pos  >
< 679    , pos , pos  , pos  >
< 680    , pos , neutre  , pos  >
< 681    , pos , neg  , pos  >
< 682    , pos , pos  , pos  >
< 683    , pos , pos  , pos  >
< 684    , neg , neg  , pos  >
< 685    , pos , neutre  , pos  >
< 686    , pos , pos  , pos  >
< 687    , neg , neutre  , pos  >
< 688    , pos , neutre  , pos  >
< 689    , pos , neutre  , pos  >
< 690    , pos , pos  , pos  >
< 691    , pos , neutre  , pos  >
< 692    , pos , pos  , pos  >
< 693    , pos , pos  , pos  >
< 694    , pos , neutre  , pos  >
< 695    , pos , pos  , pos  >
< 696    , pos , pos  , pos  >
< 697    , pos , pos  , pos  >
< 698    , pos , neutre  , pos  >
< 699    , pos , neutre  , pos  >
< 700    , pos , pos  , pos  >
< 701    , pos , neutre  , pos  >
< 702    , pos , neutre  , pos  >
< 703    , pos , neutre  , pos  >
< 704    , pos , neutre  , pos  >
< 705    , pos , pos  , pos  >
< 706    , pos , neg  , pos  >
< 707    , neg , neg  , pos  >
< 708    , pos , pos  , pos  >
< 709    , pos , pos  , pos  >
< 710    , pos , pos  , pos  >
< 711    , pos , neutre  , pos  >
< 712    , pos , neg  , pos  >
< 713    , pos , neutre  , pos  >
< 714    , neg , neutre  , pos  >
< 715    , neutre , neg  , pos  >
< 716    , pos , pos  , pos  >
< 717    , pos , pos  , pos  >
< 718    , pos , neutre  , pos  >
< 719    , pos , pos  , neg  >
< 720    , pos , neg  , neg  >
< 721    , pos , pos  , pos  >
< 722    , pos , pos  , pos  >
< 723    , pos , neutre  , neg  >
< 724    , pos , neg  , neg  >
< 725    , neg , neg  , pos  >
< 726    , pos , neutre  , pos  >
< 727    , pos , neutre  , pos  >
< 728    , pos , neg  , pos  >
< 729    , pos , pos  , pos  >
< 730    , pos , neg  , pos  >
< 731    , pos , neutre  , pos  >
< 732    , pos , pos  , pos  >
< 733    , pos , neutre  , pos  >
< 734    , pos , neutre  , pos  >
< 735    , pos , pos  , pos  >
< 736    , pos , pos  , pos  >
< 737    , pos , neg  , pos  >
< 738    , neg , neutre  , pos  >
< 739    , pos , neutre  , pos  >
< 740    , pos , pos  , pos  >
< 741    , pos , neutre  , pos  >
< 742    , pos , pos  , pos  >
< 743    , pos , neg  , pos  >
< 744    , pos , neutre  , pos  >
< 745    , pos , neutre  , pos  >
< 746    , pos , neutre  , pos  >
< 747    , pos , neutre  , pos  >
< 748    , pos , neutre  , pos  >
< 749    , neutre , neutre  , neg  >
< 750    , pos , neg  , pos  >
< 751    , pos , neutre  , neutre  >
< 752    , pos , pos  , pos  >
< 753    , pos , neutre  , pos  >
< 754    , pos , pos  , pos  >
< 755    , pos , pos  , pos  >
< 756    , pos , neutre  , pos  >
< 757    , pos , pos  , pos  >
< 758    , pos , neutre  , pos  >
< 759    , pos , neutre  , pos  >
< 760    , neg , neg  , pos  >
< 761    , pos , neutre  , pos  >
< 762    , pos , pos  , pos  >
< 763    , pos , neutre  , pos  >
< 764    , pos , neg  , pos  >
< 765    , pos , neg  , pos  >
< 766    , pos , pos  , pos  >
< 767    , neg , neutre  , pos  >
< 768    , neg , neg  , pos  >
< 769    , pos , pos  , pos  >
< 770    , pos , neutre  , pos  >
< 771    , pos , neutre  , pos  >
< 772    , pos , pos  , pos  >
< 773    , neutre , neutre  , pos  >
< 774    , pos , neutre  , pos  >
< 775    , pos , neutre  , pos  >
< 776    , pos , pos  , pos  >
< 777    , pos , neutre  , pos  >
< 778    , pos , neutre  , pos  >
< 779    , pos , pos  , pos  >
< 780    , neg , neutre  , pos  >
< 781    , pos , neg  , pos  >
< 782    , pos , neutre  , pos  >
